min_samples_leaf,max_iter,max_depth,max_bins,learning_rate,l2_regularization,rmse,r2
20,800,9.0,255,0.01,0.7742636826811278,0.17305112985038537,0.3460486888147223
10,800,,255,0.01945887717576389,0.00035938136638046257,0.17327860712312826,0.34432830902329226
50,200,9.0,64,0.027144176165949066,0.7742636826811278,0.17341293490791135,0.3433113448906824
10,200,3.0,64,0.013949507939624208,2.782559402207126,0.17350600956160803,0.3426062363389465
50,200,5.0,255,0.10278085328021955,0.001291549665014884,0.17377273403384308,0.340583507796973
100,200,7.0,64,0.027144176165949066,0.00035938136638046257,0.17433282569103328,0.3363258907122778
200,400,5.0,128,0.052819519005050046,0.001291549665014884,0.17449964695588988,0.33505512685942007
10,1200,,128,0.013949507939624208,10.0,0.174546519579357,0.3346978551146036
50,200,,255,0.10278085328021955,2.782559402207126,0.17458030526283344,0.334440274921568
100,400,9.0,128,0.027144176165949066,2.782559402207126,0.17468849419765387,0.3336151130106533
50,200,7.0,64,0.027144176165949066,0.21544346900318845,0.174793568697787,0.3328132156948054
20,1200,9.0,255,0.01,2.782559402207126,0.1750142722915177,0.3311273014449069
20,800,5.0,128,0.013949507939624208,0.21544346900318845,0.17501731837283077,0.3311040181054191
50,400,9.0,64,0.03786479009414649,0.0001,0.17514376878386698,0.33013711119536504
100,200,9.0,255,0.10278085328021955,0.004641588833612782,0.17532226127435077,0.328771074345518
200,400,9.0,255,0.052819519005050046,0.21544346900318845,0.17534034763388426,0.32863257836924975
50,800,7.0,128,0.01,0.00035938136638046257,0.17536663683968087,0.32843124376847943
50,1200,,128,0.2,0.7742636826811278,0.17561061471210873,0.32656131120266185
10,800,9.0,255,0.01945887717576389,0.7742636826811278,0.17561816802108365,0.3265033784872158
20,1200,7.0,255,0.013949507939624208,0.00035938136638046257,0.17578579929735194,0.3252170311600059
100,200,5.0,64,0.14337423288737733,0.016681005372000592,0.17600669135115563,0.32352010402431597
100,200,,64,0.14337423288737733,0.7742636826811278,0.17615643143237883,0.3223685654852937
200,800,,255,0.10278085328021955,0.004641588833612782,0.17626640993713383,0.32152217963225016
100,800,9.0,255,0.01945887717576389,0.001291549665014884,0.17666753164472063,0.3184307018591319
20,200,7.0,128,0.14337423288737733,0.016681005372000592,0.1767307275391373,0.3179430051699762
10,1200,,128,0.01945887717576389,0.05994842503189409,0.17686721914916817,0.31688907405159406
